practice,count_trial_sequence,datetime,correct,display_size,distractor,response_time,isRandom,PARTICIPANT,RT,BLOCK
yes,122,11/30/17 15:38,1,9,present,790.676236,blocked,3096,790.676236,2p
yes,123,11/30/17 15:38,1,9,present,616.083729,blocked,3096,616.083729,2p
no,124,11/30/17 15:38,1,9,present,737.8826587,blocked,3096,737.8826587,2
no,125,11/30/17 15:38,0,9,present,614.7320918,blocked,3096,614.7320918,2
no,126,11/30/17 15:38,1,9,present,555.719615,blocked,3096,555.719615,2
no,127,11/30/17 15:38,1,9,present,399.2629985,blocked,3096,399.2629985,2
no,128,11/30/17 15:38,0,9,present,550.2364167,blocked,3096,550.2364167,2
no,129,11/30/17 15:38,1,9,present,457.0312848,blocked,3096,457.0312848,2
no,130,11/30/17 15:38,1,9,present,591.5160989,blocked,3096,591.5160989,2
no,131,11/30/17 15:38,1,9,present,550.1299967,blocked,3096,550.1299967,2
no,132,11/30/17 15:38,1,9,present,483.6325299,blocked,3096,483.6325299,2
no,133,11/30/17 15:38,1,9,present,529.2275274,blocked,3096,529.2275274,2
no,134,11/30/17 15:38,1,9,present,553.5029302,blocked,3096,553.5029302,2
no,135,11/30/17 15:38,1,9,present,503.3246851,blocked,3096,503.3246851,2
no,136,11/30/17 15:38,1,9,present,696.9431101,blocked,3096,696.9431101,2
no,137,11/30/17 15:38,1,9,present,398.0454985,blocked,3096,398.0454985,2
no,138,11/30/17 15:38,1,9,present,430.5477518,blocked,3096,430.5477518,2
no,139,11/30/17 15:38,1,9,present,522.6527538,blocked,3096,522.6527538,2
no,140,11/30/17 15:38,1,9,present,496.5699214,blocked,3096,496.5699214,2
no,141,11/30/17 15:38,0,9,present,408.386378,blocked,3096,408.386378,2
no,142,11/30/17 15:38,1,9,present,373.1421833,blocked,3096,373.1421833,2
no,143,11/30/17 15:38,1,9,present,565.9003512,blocked,3096,565.9003512,2
no,144,11/30/17 15:38,1,9,present,456.0954044,blocked,3096,456.0954044,2
no,145,11/30/17 15:38,1,9,present,751.0794277,blocked,3096,751.0794277,2
no,146,11/30/17 15:38,1,9,present,481.953078,blocked,3096,481.953078,2
no,147,11/30/17 15:38,1,9,present,333.6552169,blocked,3096,333.6552169,2
no,148,11/30/17 15:38,0,9,present,402.5353291,blocked,3096,402.5353291,2
no,149,11/30/17 15:38,1,9,present,451.064919,blocked,3096,451.064919,2
no,150,11/30/17 15:38,1,9,present,1332.161572,blocked,3096,1332.161572,2
no,151,11/30/17 15:38,0,9,present,562.6334956,blocked,3096,562.6334956,2
no,152,11/30/17 15:38,1,9,present,511.7606117,blocked,3096,511.7606117,2
no,153,11/30/17 15:38,1,9,present,569.7626115,blocked,3096,569.7626115,2
no,154,11/30/17 15:38,1,9,present,613.689107,blocked,3096,613.689107,2
no,155,11/30/17 15:38,1,9,present,705.4704005,blocked,3096,705.4704005,2
no,156,11/30/17 15:38,0,9,present,475.674638,blocked,3096,475.674638,2
no,157,11/30/17 15:38,1,9,present,985.0330997,blocked,3096,985.0330997,2
no,158,11/30/17 15:38,1,9,present,582.003311,blocked,3096,582.003311,2
no,159,11/30/17 15:38,1,9,present,467.8621755,blocked,3096,467.8621755,2
no,160,11/30/17 15:38,1,9,present,426.4007922,blocked,3096,426.4007922,2
no,161,11/30/17 15:38,1,9,present,523.6365403,blocked,3096,523.6365403,2
no,162,11/30/17 15:38,1,9,present,481.7316833,blocked,3096,481.7316833,2
no,163,11/30/17 15:38,1,9,present,451.3503026,blocked,3096,451.3503026,2
no,164,11/30/17 15:38,0,9,present,459.2329134,blocked,3096,459.2329134,2
no,165,11/30/17 15:38,1,9,present,494.4093551,blocked,3096,494.4093551,2
no,166,11/30/17 15:38,1,9,present,510.7785361,blocked,3096,510.7785361,2
no,167,11/30/17 15:38,1,9,present,745.6403714,blocked,3096,745.6403714,2
no,168,11/30/17 15:38,1,9,present,456.452305,blocked,3096,456.452305,2
no,169,11/30/17 15:38,1,9,present,524.3732681,blocked,3096,524.3732681,2
no,170,11/30/17 15:38,1,9,present,419.2042656,blocked,3096,419.2042656,2
no,171,11/30/17 15:38,1,9,present,526.3415255,blocked,3096,526.3415255,2
no,172,11/30/17 15:38,0,9,present,351.9837584,blocked,3096,351.9837584,2
no,173,11/30/17 15:38,1,9,present,840.8202624,blocked,3096,840.8202624,2
no,174,11/30/17 15:38,1,9,present,415.7912963,blocked,3096,415.7912963,2
no,175,11/30/17 15:38,1,9,present,377.4752924,blocked,3096,377.4752924,2
no,176,11/30/17 15:38,1,9,present,358.2440625,blocked,3096,358.2440625,2
no,177,11/30/17 15:38,1,9,present,550.3623414,blocked,3096,550.3623414,2
no,178,11/30/17 15:38,0,9,present,362.8030148,blocked,3096,362.8030148,2
no,179,11/30/17 15:38,1,9,present,736.0085026,blocked,3096,736.0085026,2
no,180,11/30/17 15:38,1,9,present,374.9739083,blocked,3096,374.9739083,2
no,181,11/30/17 15:38,1,9,present,477.4625631,blocked,3096,477.4625631,2
no,182,11/30/17 15:38,1,9,present,523.4124081,blocked,3096,523.4124081,2
no,183,11/30/17 15:38,1,9,present,440.2241049,blocked,3096,440.2241049,2
no,184,11/30/17 15:38,1,9,present,589.3774325,blocked,3096,589.3774325,2
no,185,11/30/17 15:38,1,9,present,579.1070435,blocked,3096,579.1070435,2
no,186,11/30/17 15:38,1,9,present,425.2513874,blocked,3096,425.2513874,2
no,187,11/30/17 15:38,1,9,present,447.9588911,blocked,3096,447.9588911,2
no,188,11/30/17 15:38,1,9,present,565.8452591,blocked,3096,565.8452591,2
no,189,11/30/17 15:38,1,9,present,645.5148574,blocked,3096,645.5148574,2
no,190,11/30/17 15:38,1,9,present,524.5385442,blocked,3096,524.5385442,2
no,191,11/30/17 15:38,1,9,present,454.3064528,blocked,3096,454.3064528,2
no,192,11/30/17 15:38,1,9,present,482.9902456,blocked,3096,482.9902456,2
no,193,11/30/17 15:38,1,9,present,451.068683,blocked,3096,451.068683,2
no,194,11/30/17 15:38,1,9,present,435.9809908,blocked,3096,435.9809908,2
no,195,11/30/17 15:38,1,9,present,535.7496043,blocked,3096,535.7496043,2
no,196,11/30/17 15:38,0,9,present,439.5499972,blocked,3096,439.5499972,2
no,197,11/30/17 15:38,1,9,present,454.6003911,blocked,3096,454.6003911,2
no,198,11/30/17 15:38,1,9,present,550.6367751,blocked,3096,550.6367751,2
no,199,11/30/17 15:38,1,9,present,704.2087585,blocked,3096,704.2087585,2
no,200,11/30/17 15:38,1,9,present,484.9769811,blocked,3096,484.9769811,2
no,201,11/30/17 15:38,0,9,present,489.2765559,blocked,3096,489.2765559,2
no,202,11/30/17 15:38,1,9,present,551.9959403,blocked,3096,551.9959403,2
no,203,11/30/17 15:38,1,9,present,453.8643477,blocked,3096,453.8643477,2
no,204,11/30/17 15:38,1,9,present,512.4638052,blocked,3096,512.4638052,2
no,205,11/30/17 15:38,1,9,present,525.3190719,blocked,3096,525.3190719,2
no,206,11/30/17 15:38,1,9,present,820.221997,blocked,3096,820.221997,2
no,207,11/30/17 15:38,1,9,present,552.3148582,blocked,3096,552.3148582,2
no,208,11/30/17 15:38,1,9,present,416.7285454,blocked,3096,416.7285454,2
no,209,11/30/17 15:38,1,9,present,553.7380123,blocked,3096,553.7380123,2
no,210,11/30/17 15:38,1,9,present,430.8851478,blocked,3096,430.8851478,2
no,211,11/30/17 15:38,1,9,present,410.3573729,blocked,3096,410.3573729,2
no,212,11/30/17 15:38,1,9,present,537.5635355,blocked,3096,537.5635355,2
no,213,11/30/17 15:38,1,9,present,424.3579381,blocked,3096,424.3579381,2
no,214,11/30/17 15:38,1,9,present,448.1446984,blocked,3096,448.1446984,2
no,215,11/30/17 15:38,1,9,present,568.0906877,blocked,3096,568.0906877,2
no,216,11/30/17 15:38,1,9,present,563.7127521,blocked,3096,563.7127521,2
no,217,11/30/17 15:38,1,9,present,521.2258356,blocked,3096,521.2258356,2
no,218,11/30/17 15:38,1,9,present,654.7966693,blocked,3096,654.7966693,2
no,219,11/30/17 15:38,1,9,present,455.286133,blocked,3096,455.286133,2
no,220,11/30/17 15:38,0,9,present,472.4854588,blocked,3096,472.4854588,2
no,221,11/30/17 15:38,1,9,present,467.0262135,blocked,3096,467.0262135,2
no,222,11/30/17 15:38,1,9,present,506.0851045,blocked,3096,506.0851045,2
no,223,11/30/17 15:38,1,9,present,461.6904977,blocked,3096,461.6904977,2
yes,224,11/30/17 15:38,1,5,absent,520.0637699,blocked,3096,520.0637699,3p
yes,225,11/30/17 15:38,0,5,absent,341.5172965,blocked,3096,341.5172965,3p
yes,226,11/30/17 15:38,1,5,absent,508.6525307,blocked,3096,508.6525307,3p
yes,227,11/30/17 15:38,0,5,absent,419.6911971,blocked,3096,419.6911971,3p
yes,228,11/30/17 15:38,1,5,absent,618.8694702,blocked,3096,618.8694702,3p
yes,229,11/30/17 15:38,1,5,absent,744.7020958,blocked,3096,744.7020958,3p
yes,230,11/30/17 15:38,0,5,absent,359.3647237,blocked,3096,359.3647237,3p
yes,231,11/30/17 15:38,1,5,absent,845.0698779,blocked,3096,845.0698779,3p
yes,232,11/30/17 15:38,1,5,absent,489.1646609,blocked,3096,489.1646609,3p
yes,233,11/30/17 15:38,1,5,absent,534.6789023,blocked,3096,534.6789023,3p
yes,234,11/30/17 15:38,1,5,absent,483.6551142,blocked,3096,483.6551142,3p
yes,235,11/30/17 15:38,1,5,absent,796.6426018,blocked,3096,796.6426018,3p
no,236,11/30/17 15:38,1,5,absent,729.7406704,blocked,3096,729.7406704,3
no,237,11/30/17 15:38,1,5,absent,473.8004819,blocked,3096,473.8004819,3
no,238,11/30/17 15:38,0,5,absent,475.4775385,blocked,3096,475.4775385,3
no,239,11/30/17 15:38,1,5,absent,628.2861036,blocked,3096,628.2861036,3
no,240,11/30/17 15:38,1,5,absent,481.2707579,blocked,3096,481.2707579,3
no,241,11/30/17 15:38,1,5,absent,710.9241708,blocked,3096,710.9241708,3
no,242,11/30/17 15:38,1,5,absent,461.1755068,blocked,3096,461.1755068,3
no,243,11/30/17 15:38,1,5,absent,410.8805762,blocked,3096,410.8805762,3
no,244,11/30/17 15:38,1,5,absent,498.6028521,blocked,3096,498.6028521,3
no,245,11/30/17 15:38,1,5,absent,456.8954367,blocked,3096,456.8954367,3
no,246,11/30/17 15:38,1,5,absent,474.4923833,blocked,3096,474.4923833,3
no,247,11/30/17 15:38,1,5,absent,418.6064656,blocked,3096,418.6064656,3
no,248,11/30/17 15:38,1,5,absent,474.5033332,blocked,3096,474.5033332,3
no,249,11/30/17 15:38,1,5,absent,564.2092649,blocked,3096,564.2092649,3
no,250,11/30/17 15:38,1,5,absent,600.9443666,blocked,3096,600.9443666,3
no,251,11/30/17 15:38,1,5,absent,469.592271,blocked,3096,469.592271,3
no,252,11/30/17 15:38,1,5,absent,383.7978745,blocked,3096,383.7978745,3
no,253,11/30/17 15:38,1,5,absent,498.4570806,blocked,3096,498.4570806,3
no,254,11/30/17 15:38,1,5,absent,381.2677466,blocked,3096,381.2677466,3
no,255,11/30/17 15:38,1,5,absent,511.3130316,blocked,3096,511.3130316,3
no,256,11/30/17 15:38,1,5,absent,412.2797773,blocked,3096,412.2797773,3
no,257,11/30/17 15:38,1,5,absent,375.0584284,blocked,3096,375.0584284,3
no,258,11/30/17 15:38,0,5,absent,331.7571077,blocked,3096,331.7571077,3
no,259,11/30/17 15:38,1,5,absent,621.4748791,blocked,3096,621.4748791,3
no,260,11/30/17 15:38,1,5,absent,389.5339487,blocked,3096,389.5339487,3
no,261,11/30/17 15:38,1,5,absent,471.3788273,blocked,3096,471.3788273,3
no,262,11/30/17 15:38,1,5,absent,403.1009635,blocked,3096,403.1009635,3
no,263,11/30/17 15:38,1,5,absent,399.208933,blocked,3096,399.208933,3
no,264,11/30/17 15:38,1,5,absent,559.2390043,blocked,3096,559.2390043,3
no,265,11/30/17 15:38,1,5,absent,521.7743608,blocked,3096,521.7743608,3
no,266,11/30/17 15:38,1,5,absent,466.7007941,blocked,3096,466.7007941,3
no,267,11/30/17 15:38,1,5,absent,342.5595969,blocked,3096,342.5595969,3
no,268,11/30/17 15:38,1,5,absent,355.6277037,blocked,3096,355.6277037,3
no,269,11/30/17 15:38,1,5,absent,363.5585629,blocked,3096,363.5585629,3
no,270,11/30/17 15:38,1,5,absent,403.1030167,blocked,3096,403.1030167,3
no,271,11/30/17 15:38,0,5,absent,310.0416031,blocked,3096,310.0416031,3
no,272,11/30/17 15:38,1,5,absent,387.6392614,blocked,3096,387.6392614,3
no,273,11/30/17 15:38,1,5,absent,583.7046628,blocked,3096,583.7046628,3
no,274,11/30/17 15:38,1,5,absent,386.4552957,blocked,3096,386.4552957,3
no,275,11/30/17 15:38,1,5,absent,361.6299991,blocked,3096,361.6299991,3
no,276,11/30/17 15:38,0,5,absent,350.4832701,blocked,3096,350.4832701,3
no,277,11/30/17 15:38,1,5,absent,394.2941067,blocked,3096,394.2941067,3
no,278,11/30/17 15:38,1,5,absent,475.2369813,blocked,3096,475.2369813,3
no,279,11/30/17 15:38,1,5,absent,607.9858828,blocked,3096,607.9858828,3
no,280,11/30/17 15:38,1,5,absent,638.8021826,blocked,3096,638.8021826,3
no,281,11/30/17 15:38,1,5,absent,421.5506392,blocked,3096,421.5506392,3
no,282,11/30/17 15:38,0,5,absent,357.2277683,blocked,3096,357.2277683,3
no,283,11/30/17 15:38,1,5,absent,449.2242972,blocked,3096,449.2242972,3
no,284,11/30/17 15:38,1,5,absent,536.2909435,blocked,3096,536.2909435,3
no,285,11/30/17 15:38,1,5,absent,464.9409283,blocked,3096,464.9409283,3
no,286,11/30/17 15:38,1,5,absent,457.1387314,blocked,3096,457.1387314,3
no,287,11/30/17 15:38,1,5,absent,416.6566862,blocked,3096,416.6566862,3
no,288,11/30/17 15:38,1,5,absent,459.0183624,blocked,3096,459.0183624,3
no,289,11/30/17 15:38,1,5,absent,368.5305343,blocked,3096,368.5305343,3
no,290,11/30/17 15:38,1,5,absent,689.4324561,blocked,3096,689.4324561,3
no,291,11/30/17 15:38,1,5,absent,447.2550132,blocked,3096,447.2550132,3
no,292,11/30/17 15:38,1,5,absent,446.3153688,blocked,3096,446.3153688,3
no,293,11/30/17 15:38,1,5,absent,456.815365,blocked,3096,456.815365,3
no,294,11/30/17 15:38,0,5,absent,433.7974981,blocked,3096,433.7974981,3
no,295,11/30/17 15:38,1,5,absent,641.7720202,blocked,3096,641.7720202,3
no,296,11/30/17 15:38,0,5,absent,730.7696256,blocked,3096,730.7696256,3
no,297,11/30/17 15:38,1,5,absent,428.6595661,blocked,3096,428.6595661,3
no,298,11/30/17 15:38,1,5,absent,412.8669695,blocked,3096,412.8669695,3
no,299,11/30/17 15:38,1,5,absent,653.3718042,blocked,3096,653.3718042,3
no,300,11/30/17 15:38,1,5,absent,559.4282336,blocked,3096,559.4282336,3
no,301,11/30/17 15:38,1,5,absent,494.7659136,blocked,3096,494.7659136,3
no,302,11/30/17 15:38,1,5,absent,583.7867876,blocked,3096,583.7867876,3
no,303,11/30/17 15:38,1,5,absent,648.6414165,blocked,3096,648.6414165,3
no,304,11/30/17 15:38,1,5,absent,428.6274005,blocked,3096,428.6274005,3
no,305,11/30/17 15:38,1,5,absent,403.6402496,blocked,3096,403.6402496,3
no,306,11/30/17 15:38,1,5,absent,419.4615899,blocked,3096,419.4615899,3
no,307,11/30/17 15:38,0,5,absent,411.1488505,blocked,3096,411.1488505,3
no,308,11/30/17 15:38,1,5,absent,554.0877271,blocked,3096,554.0877271,3
no,309,11/30/17 15:38,1,5,absent,554.6417272,blocked,3096,554.6417272,3
no,310,11/30/17 15:38,1,5,absent,515.624583,blocked,3096,515.624583,3
no,311,11/30/17 15:38,1,5,absent,396.4964197,blocked,3096,396.4964197,3
no,312,11/30/17 15:38,0,5,absent,426.4760733,blocked,3096,426.4760733,3
no,313,11/30/17 15:38,1,5,absent,614.2626118,blocked,3096,614.2626118,3
no,314,11/30/17 15:38,1,5,absent,540.3999203,blocked,3096,540.3999203,3
no,315,11/30/17 15:38,1,5,absent,355.9000843,blocked,3096,355.9000843,3
no,316,11/30/17 15:38,1,5,absent,540.0036682,blocked,3096,540.0036682,3
no,317,11/30/17 15:38,0,5,absent,452.8552393,blocked,3096,452.8552393,3
no,318,11/30/17 15:38,1,5,absent,475.520654,blocked,3096,475.520654,3
no,319,11/30/17 15:38,1,5,absent,493.2544753,blocked,3096,493.2544753,3
no,320,11/30/17 15:38,1,5,absent,491.258843,blocked,3096,491.258843,3
no,321,11/30/17 15:38,1,5,absent,492.1163626,blocked,3096,492.1163626,3
no,322,11/30/17 15:38,1,5,absent,725.0119937,blocked,3096,725.0119937,3
no,323,11/30/17 15:38,1,5,absent,579.1706902,blocked,3096,579.1706902,3
no,324,11/30/17 15:38,1,5,absent,544.6580906,blocked,3096,544.6580906,3
no,325,11/30/17 15:38,1,5,absent,607.7511427,blocked,3096,607.7511427,3
no,326,11/30/17 15:38,1,5,absent,452.9736359,blocked,3096,452.9736359,3
no,327,11/30/17 15:38,1,5,absent,964.0758806,blocked,3096,964.0758806,3
no,328,11/30/17 15:38,1,5,absent,470.8662317,blocked,3096,470.8662317,3
no,329,11/30/17 15:38,1,5,absent,470.844674,blocked,3096,470.844674,3
no,330,11/30/17 15:38,1,5,absent,527.6459409,blocked,3096,527.6459409,3
no,331,11/30/17 15:38,1,5,absent,501.1914938,blocked,3096,501.1914938,3
no,332,11/30/17 15:38,1,5,absent,643.5448891,blocked,3096,643.5448891,3
no,333,11/30/17 15:38,1,5,absent,569.2394081,blocked,3096,569.2394081,3
no,334,11/30/17 15:38,1,5,absent,552.4363345,blocked,3096,552.4363345,3
no,335,11/30/17 15:38,1,5,absent,470.2756176,blocked,3096,470.2756176,3
